Nombre,Cantidad,Componente
"PIEZO1",1," Piezo"
"Dencendido, D1, D5",3,"Verde LED"
"R1, R2, R3, R4, R10, R12, R8",7,"220 Ω Resistencia"
"R5, R6, R7, R9",4,"1 kΩ Resistencia"
"U2",1," Arduino Uno R3"
"D2",1,"Naranja LED"
"D3",1,"Azul LED"
"S3, S4, S5, S2",4," Interruptor deslizante"
"D6",1,"Rojo LED"
"Upantalla 1",1,"Basado en PCF8574, 32 (0x20) LCD 16 x 2 (I2C)"
"D4",1,"Amarillo LED"
"KEYPAD1",1," Teclado 4x4"
"S1",1," Pulsador"
