Nombre,Cantidad,Componente
"U1",1," Arduino Uno R3"
"U2",1,"Basado en PCF8574, 39 (0x27) LCD 16 x 2 (I2C)"
"S1, S2, S9",3," Pulsador"
"PIEZO1",1," Piezo"
"R1, R2, R3, R4, R5",5,"1 kΩ Resistencia"
"D1, D3",2,"Verde LED"
"D2",1,"Rojo LED"
"D4",1,"Amarillo LED"
"D5",1,"Azul LED"
"S3, S4, S5, S6",4," Interruptor deslizante"
"C1",1,"1 uF, 1 V Condensador polarizado"
